Device Name,T25
Device Model,Kestrel DROP 2
Serial Number,2815156
FORMATTED DATE_TIME,Temperature,Relative Humidity,Heat Index,Dew Point,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
yyyy-MM-dd hh:mm:ss a,°F,%,°F,°F
2024-06-17 11:50:00 AM,67.3,68.4,66.6,56.6,point
2024-06-17 12:00:00 PM,67.0,68.0,66.0,56.0,point
2024-06-17 12:10:00 PM,67.8,68.7,67.1,57.1,point
2024-06-17 12:20:00 PM,68.4,68.0,68.0,57.4,point
2024-06-17 12:30:00 PM,68.7,67.0,68.4,57.4,point
2024-06-17 12:40:00 PM,69.4,66.1,69.3,57.6,point
2024-06-17 12:50:00 PM,69.8,64.3,69.4,57.2,point
2024-06-17 01:00:00 PM,70.7,64.3,70.7,58.0,point
2024-06-17 01:10:00 PM,70.7,63.7,71.1,57.8,point
2024-06-17 01:20:00 PM,72.0,62.9,72.1,58.7,point
2024-06-17 01:30:00 PM,72.8,62.1,72.9,59.1,point
2024-06-17 01:40:00 PM,73.3,60.9,73.2,59.0,point
2024-06-17 01:50:00 PM,74.1,61.0,73.9,59.8,point
2024-06-17 02:00:00 PM,74.5,59.5,74.3,59.5,point
2024-06-17 02:10:00 PM,75.8,61.0,75.7,61.4,point
2024-06-17 02:20:00 PM,76.0,59.8,75.7,61.0,point
2024-06-17 02:30:00 PM,76.7,60.8,76.6,62.2,point
2024-06-17 02:40:00 PM,76.5,57.7,76.1,60.5,point
2024-06-17 02:50:00 PM,76.7,56.8,76.3,60.2,point
2024-06-17 03:00:00 PM,76.5,58.5,76.3,60.8,point
2024-06-17 03:10:00 PM,75.5,59.6,75.2,60.4,point
2024-06-17 03:20:00 PM,76.5,60.1,76.5,61.6,point
2024-06-17 03:30:00 PM,76.1,59.3,75.9,60.9,point
2024-06-17 03:40:00 PM,76.6,59.9,76.5,61.7,point
2024-06-17 03:50:00 PM,77.4,59.2,77.5,62.0,point
2024-06-17 04:00:00 PM,77.1,58.6,77.0,61.5,point
2024-06-17 04:10:00 PM,77.3,58.4,77.2,61.6,point
